,_id,email,situacao-habitacional,distrito,concelho,freguesia,area-util,tipo-casa,tipologia,ano-nascimento,nacionalidade,rendimento-anual,num-pessoas-nao-dependentes,num-pessoas-dependentes,situacao-profissional,educacao,satisfacao,testemunho,comentarios,percentagem-renda-paga,valor-mensal-renda,ano-inicio-arrendamento,rendimento-arrendamento,estrategia-arrendamento,insatisfacao-motivos,insertedAt,valor-compra,ano-compra,estado-conservacao,estrategia-compra,rendimento-liquido-anual-individual-na-compra,outra-insatisfacao,rendimento-liquido-anual-conjunto-na-compra,outra-estrategia-arrendamento,ano-heranca-aquisicao,rendimento-liquido-anual-individual-na-aquisicao,rendimento-heranca-conjunto,estado-conservacao-heranca,hashingV2,salt,outra-estrategia-compra
0,663bbc2c9d009752c71161e5,9f55648a24d9b21860a39a2068740df91844594bd16840b83b80aef990028fb4,['arrendo'],bragança,bragança,"união das freguesias de sé, santa maria e meixedo",101-200,['moradia'],['T4+'],1995,angola,12001-20000,1,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],"- Há quanto tempo está na sua habitação atual? 20 anos Qual era a sua situação habitacional antes? ainda não tinha nascido
Pretende mudar de situação no futuro? sim, quero sair desta casa e ir morar com o meu namorado
- Quais os maiores desafios que tem enfrentado na sua situação? pagar a renda
- Caso tenha comprado casa, quanto tempo demorou desde o momento em que quis comprar e conseguiu comprar casa? Demorei a arrendar, precisei de entregar valores muito elevados de mensalidades em avanço",NR,25,500.0,2000.0,sem-rendimento,['apoio-social'],"['financeiramente-dependente', 'vivo-longe-de-transportes']",2024-05-08 17:53:48.011,,,,,,,,,,,,,,,
1,663cb196006a527f7674e700,13d0af508734eeb35848f6cc649b013276e2bb265d103b2d82aac64083d33c52,['arrendo'],lisboa,lisboa,campo de ourique,61-80,['apartamento'],['T1'],1994,italia,20001-35000,0,0,['empregado-tempo-inteiro'],mestrado,['insatisfeito'],NR,NR,100,850.0,2023.0,20001-35000,['sem-ajuda'],['pago-demasiado'],2024-05-09 11:20:54.960,,,,,,,,,,,,,,,
2,663cb32d006a527f7674e702,3db70fd5945411ebcd949e753b6ba772923ab431edfdfbc24f08890470b702c2,['comprei'],setúbal,almada,união das freguesias de charneca de caparica e sobreda,101-200,['apartamento'],['T3'],1984,portugal,20001-35000,1,2,['empregado-tempo-inteiro'],doutoramento,['muito-satisfeito'],NR,NR,,,,,,,2024-05-09 11:27:41.481,255000.0,2018.0,raiz,['emprestimo'],20001-35000,,,,,,,,,,
3,663cb897079f7ae1b2fedc66,25c5d6e322a8e569cb898da455a0838b32a7cb46bb75c40501f0c2194f7708e6,['outrem'],lisboa,lisboa,são domingos de benfica,101-200,['apartamento'],['T3'],1995,portugal,12001-20000,1,0,['estudante-tempo-integral'],mestrado,['satisfeito'],"Eu morei no Alentejo. Mudei-me para Lisboa para estudar. Para uma casa que a minha avó tinha na amadora. Entretanto mudei-me para a casa da minha namorada, comprada pelos pais, que ficava em Telheiras. Algumas situações familiares dela fizeram nos mudar para outra casa maior nas Laranjeiras. Tenho estado lá, excepto em dois anos que morei no estrangeiro (Genebra e Bruxelas). A nossa relação nunca esteve em causa portanto nunca pensei em adquirir um imovel. No entanto este ano, comecei a colocar essa hipotese mas percebi que a aquisição de um imovel será um grande desafio. Estou a planear comprar a parte de um imovel da minha avó, uma vez que este será herdado e metade seria doado pela minha mãe, deixando me apenas a divida de metade dessa casa. Esta seria no Alentejo. Eu não me sinto numa situação precária... Pelo contrário, eu sinto-me bastante priveligiado: nunca tive que pagar uma renda equante habitei em Portugal, pude dedicar-me aos estudos sem ter que trabalhar enquanto estudava... No entanto, não tenho nada em meu nome, e sei que mesmo não estando na posição mais precária (sou bolseiro de doutoramento), se quisesse investir para poder fazer a outros o que fizeram por mim (dar-me tecto) não seria fácil.  ",NR,,,,,,"['outro', 'vivo-longe-de-transportes']",2024-05-09 11:50:47.796,,,,,,Vivo na casa com a minha namorada. A casa é dela e eu moro com ela. Recentemente a nossa relação tem passado por momentos atribulados e coloque a situação de acabar a relação mas também sei que eu não teria fundos para comprar uma casa.,,,,,,,,,
4,663cbb4a0435c3c1c4bf225e,d0797ba806ab6f48d4e0dc870ff3155342ceab1615da4d71f1a9ed9285bd3103,['outrem'],porto,matosinhos,"união das freguesias de custóias, leça do balio e guifões",201-400,['apartamento'],['T3'],1999,portugal,20001-35000,3,0,['empregado-tempo-inteiro'],mestrado,['satisfeito'],NR,NR,,,,,,['quero-independecia'],2024-05-09 12:02:18.903,,,,,,,,,,,,,,,
5,663cbb6a0435c3c1c4bf2260,33ca7eb28781531f0acbdfbdd65331fce65e2423d6151a5da39592d71f307ac1,['arrendo'],lisboa,lisboa,campo de ourique,61-80,['apartamento'],['T2'],1993,portugal,20001-35000,1,0,['empregado-tempo-inteiro'],mestrado,['muito-satisfeito'],NR,NR,50,500.0,2021.0,12001-20000,['sem-ajuda'],['habitacao-mau-estado'],2024-05-09 12:02:50.260,,,,,,,,,,,,,,,
6,663cc11b538e4a37324f9620,d62855d4436b03a44d5d0e87025b2ba68e8fbf5e5a40e922d740bd75e6d58fbb,['outrem'],viseu,viseu,orgens,>400,['moradia'],['T4+'],1995,portugal,7001-12000,3,0,['contrato-temporario'],mestrado,['satisfeito'],NR,NR,,,,,,['quero-independecia'],2024-05-09 12:27:07.400,,,,,,,,,,,,,,,
7,663cc27d538e4a37324f9622,4e1f28ff405f918d380dbbd90dda2ae826a436ce2d2dfbe4f24b29a7e0787d81,['outrem'],porto,porto,união das freguesias de lordelo do ouro e massarelos,201-400,['apartamento'],['T4+'],2001,portugal,7001-12000,2,1,['empregado-tempo-inteiro'],licenciatura,['muito-satisfeito'],NR,NR,,,,,,,2024-05-09 12:33:01.318,,,,,,,,,,,,,,,
8,663cc5de7bd7aaa14cec38a7,3d46391c0a2acbab1800530a746f807f88bb78e533ef8ca63a805c455c748e50,['arrendo'],porto,valongo,alfena,41-60,['apartamento'],['T1'],1992,portugal,20001-35000,0,0,['empregado-tempo-inteiro'],mestrado,['indiferente'],A casa onde vivo atualmente foi uma solução que consegui arranjar através de conhecidos porque não conseguia arranjar solução (tanto compra como arrendamento) de habitação face aos preços praticados na localização que vivia previamente e que gostaria de me ter mantido.,NR,100,475.0,2024.0,20001-35000,['sem-ajuda'],['outro'],2024-05-09 12:47:26.970,,,,,,Localiza-se numa zona mais periférica do que o pretendido e gostaria que tivesse acabamentos mais modernos ,,,,,,,,,
9,663cc70ff98712edfb70922c,e74d041ed65d84a5adbf22a439ad0f29f2fdba10727e119447b604e3d193ad10,['comprei'],lisboa,oeiras,união das freguesias de carnaxide e queijas,81-100,['apartamento'],['T2'],1973,portugal,35001-50000,1,1,"['empregado-tempo-inteiro', 'independente']",licenciatura,['satisfeito'],NR,NR,,,,,,['vivo-longe'],2024-05-09 12:52:31.097,160000.0,2001.0,bom,"['emprestimo', 'conjunto']",12001-20000,,20001-35000,,,,,,,,
